user_id,nama,gender,usia,kota,pekerjaan,pendapatan_bulanan,saldo_saat_ini,tujuan,usia_target_tujuan,persona
U001,Andi,pria,27,Jakarta,Karyawan swasta,9000000,22779195,Dana pensiun nyaman,60,Penabung Disiplin
U002,Bima,pria,25,Bandung,Karyawan swasta,7000000,8434412,Beli motor baru,27,Numpang Lewat
U003,Citra,wanita,24,Jakarta,Karyawan swasta,7000000,9563098,Beli rumah,35,Konsumtif
U004,Dodi,pria,29,Surabaya,Wiraswasta,6000000,3093849,Lunas cicilan,35,Defisit
U005,Eka,wanita,23,Jakarta,Karyawan baru,4500000,10279212,Dana darurat,30,Berkembang
U0006,Nasabah0006,pria,38,Surabaya,Wiraswasta,4500000,3060642,Menikah,49,Defisit
U0007,Nasabah0007,wanita,32,Semarang,Wiraswasta,4000000,3160524,Beli rumah,53,Defisit
U0008,Nasabah0008,pria,20,Bandung,PNS,8000000,25333635,Dana pensiun,37,Konsumtif
U0009,Nasabah0009,wanita,25,Medan,Guru,4000000,4414234,Beli mobil,30,Defisit
U0010,Nasabah0010,pria,27,Yogyakarta,Karyawan BUMN,8000000,11983340,Dana pensiun,44,Berkembang
U0011,Nasabah0011,wanita,24,Jakarta,Freelancer,9000000,20401708,Beli mobil,27,Konsumtif
U0012,Nasabah0012,pria,42,Yogyakarta,Wiraswasta,8000000,15594327,Liburan,59,Konsumtif
U0013,Nasabah0013,wanita,23,Surabaya,Wiraswasta,12000000,17377405,Dana darurat,33,Berkembang
U0014,Nasabah0014,pria,41,Surabaya,PNS,5000000,9564356,Beli mobil,60,Berkembang
U0015,Nasabah0015,wanita,20,Medan,Karyawan swasta,7000000,8014951,Menikah,34,Berkembang
U0016,Nasabah0016,pria,20,Surabaya,Wiraswasta,4000000,4470745,Dana pensiun,43,Defisit
U0017,Nasabah0017,wanita,20,Jakarta,Karyawan BUMN,12000000,34071545,Dana darurat,30,Konsumtif
U0018,Nasabah0018,pria,20,Denpasar,Freelancer,9000000,24830643,Dana pendidikan anak,28,Berkembang
U0019,Nasabah0019,wanita,44,Semarang,PNS,9000000,15014349,Dana pensiun,52,Penabung Disiplin
U0020,Nasabah0020,pria,30,Makassar,Wiraswasta,4500000,9237798,Beli rumah,48,Penabung Disiplin
U0021,Nasabah0021,wanita,36,Yogyakarta,Wiraswasta,6000000,11904188,Beli mobil,46,Penabung Disiplin
