trx_id,user_id,tanggal_waktu,arah,kategori,merchant_id,merchant_nama,metode,tujuan,nominal,saldo_setelah
T000633,U0006,2026-06-30 11:46:00,keluar,Makan,M005,Warung Bu Sri,Debit,Merchant,26831,3712290
T000634,U0006,2026-06-30 21:38:00,keluar,Belanja Online,M007,TokoRia,Debit,Merchant,96691,3615599
T000637,U0006,2026-07-01 07:37:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,33323,3582276
T000635,U0006,2026-07-01 10:41:00,keluar,Kopi,M001,Kopi Kawan,QRIS,Merchant,19190,3563086
T000636,U0006,2026-07-01 12:49:00,keluar,Makan,M004,Nasi Bunda,QRIS,Merchant,24905,3538181
T000638,U0006,2026-07-01 17:19:00,keluar,Hiburan,M008,Bioskop Nusantara,QRIS,Merchant,106204,3431977
T000639,U0006,2026-07-02 13:39:00,keluar,Makan,M005,Warung Bu Sri,Debit,Merchant,22751,3409226
T000640,U0006,2026-07-02 13:59:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,32012,3377214
T000641,U0006,2026-07-03 06:31:00,keluar,Tagihan,,Tagihan Listrik & Internet,Autodebet,Merchant,1349543,2027671
T000642,U0006,2026-07-03 06:31:00,keluar,Cicilan,,Cicilan,Autodebet,Merchant,1652678,374993
T000643,U0006,2026-07-03 08:37:00,keluar,Kopi,M003,Kopi Titik,QRIS,Merchant,18711,356282
T000644,U0006,2026-07-03 12:01:00,keluar,Makan,M004,Nasi Bunda,Debit,Merchant,29163,327119
T000646,U0006,2026-07-04 12:30:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,26121,300998
T000645,U0006,2026-07-04 13:43:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,23435,277563
T000647,U0006,2026-07-04 17:33:00,keluar,Belanja Online,M007,TokoRia,Debit,Merchant,97606,179957
T000649,U0006,2026-07-05 12:38:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,29021,150936
T000648,U0006,2026-07-05 14:39:00,keluar,Makan,M004,Nasi Bunda,QRIS,Merchant,27461,123475
T000650,U0006,2026-07-06 08:12:00,keluar,Kopi,M001,Kopi Kawan,QRIS,Merchant,17908,105567
T000651,U0006,2026-07-06 12:18:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,27398,78169
T000652,U0006,2026-07-06 19:03:00,keluar,Hiburan,M008,Bioskop Nusantara,QRIS,Merchant,74261,3908
T000653,U0006,2026-07-08 17:38:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,3713,195
T000654,U0006,2026-07-09 08:02:00,keluar,Kopi,M001,Kopi Kawan,QRIS,Merchant,185,9
T000655,U0006,2026-07-09 14:21:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,9,0
T000656,U0006,2026-07-09 19:56:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000657,U0006,2026-07-10 13:28:00,keluar,Makan,M004,Nasi Bunda,QRIS,Merchant,0,0
T000658,U0006,2026-07-10 19:19:00,keluar,Belanja Online,M007,TokoRia,Debit,Merchant,0,0
T000659,U0006,2026-07-11 07:41:00,keluar,Kopi,M001,Kopi Kawan,QRIS,Merchant,0,0
T000660,U0006,2026-07-11 11:53:00,keluar,Makan,M004,Nasi Bunda,QRIS,Merchant,0,0
T000661,U0006,2026-07-11 13:57:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000662,U0006,2026-07-12 21:24:00,keluar,Belanja Online,M007,TokoRia,Debit,Merchant,0,0
T000663,U0006,2026-07-13 11:29:00,keluar,Makan,M004,Nasi Bunda,Debit,Merchant,0,0
T000665,U0006,2026-07-13 17:47:00,keluar,Hiburan,M008,Bioskop Nusantara,QRIS,Merchant,0,0
T000664,U0006,2026-07-13 19:17:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000667,U0006,2026-07-14 13:56:00,keluar,Hiburan,M008,Bioskop Nusantara,QRIS,Merchant,0,0
T000666,U0006,2026-07-14 20:52:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000668,U0006,2026-07-15 09:33:00,keluar,Kopi,M003,Kopi Titik,QRIS,Merchant,0,0
T000669,U0006,2026-07-15 11:44:00,keluar,Makan,M005,Warung Bu Sri,Debit,Merchant,0,0
T000670,U0006,2026-07-15 19:11:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000671,U0006,2026-07-16 11:31:00,keluar,Makan,M004,Nasi Bunda,Debit,Merchant,0,0
T000672,U0006,2026-07-17 10:50:00,keluar,Kopi,M001,Kopi Kawan,QRIS,Merchant,0,0
T000673,U0006,2026-07-17 16:23:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000674,U0006,2026-07-18 12:18:00,keluar,Makan,M004,Nasi Bunda,QRIS,Merchant,0,0
T000675,U0006,2026-07-19 09:35:00,keluar,Kopi,M001,Kopi Kawan,QRIS,Merchant,0,0
T000676,U0006,2026-07-19 11:40:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,0,0
T000677,U0006,2026-07-19 17:58:00,keluar,Belanja Online,M007,TokoRia,Debit,Merchant,0,0
T000678,U0006,2026-07-20 09:11:00,keluar,Kopi,M001,Kopi Kawan,QRIS,Merchant,0,0
T000679,U0006,2026-07-20 12:43:00,keluar,Makan,M005,Warung Bu Sri,QRIS,Merchant,0,0
T000680,U0006,2026-07-21 13:53:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000681,U0006,2026-07-22 12:11:00,keluar,Belanja Online,M007,TokoRia,Debit,Merchant,0,0
T000682,U0006,2026-07-23 08:22:00,keluar,Kopi,M003,Kopi Titik,QRIS,Merchant,0,0
T000683,U0006,2026-07-24 08:29:00,keluar,Kopi,M001,Kopi Kawan,QRIS,Merchant,0,0
T000685,U0006,2026-07-24 11:14:00,keluar,Transportasi,M006,JalanYuk,QRIS,Merchant,0,0
T000684,U0006,2026-07-24 11:51:00,keluar,Makan,M005,Warung Bu Sri,Debit,Merchant,0,0
